#       Tempo      Altitude       Vel rad     Vel theta    Vel lambda    Raio balão
   0.00000000  850.00000000    0.00000000    0.00000000    0.00000000    1.21679652
   0.10000000  850.01662726    0.33228614    0.00039960   -0.00000224    1.21679672
   0.20000000  850.06635417    0.66148456    0.00079548   -0.00000893    1.21679732
   0.30000000  850.14872186    0.98462108    0.00118408   -0.00001989    1.21679830
   0.40000000  850.26298413    1.29894011    0.00156207   -0.00003489    1.21679967
   0.50000000  850.40813393    1.60199312    0.00192651   -0.00005361    1.21680141
   0.60000000  850.58293759    1.89170517    0.00227491   -0.00007564    1.21680350
   0.70000000  850.78597445    2.16641643    0.00260527   -0.00010057    1.21680593
   0.80000000  851.01567942    2.42489850    0.00291611   -0.00012792    1.21680868
   0.90000000  851.27038594    2.66634757    0.00320647   -0.00015724    1.21681172
   1.00000000  851.54836725    2.89035820    0.00347586   -0.00018806    1.21681505
   1.10000000  851.84787436    3.09688267    0.00372422   -0.00021995    1.21681863
   1.20000000  852.16716929    3.28618089    0.00395187   -0.00025249    1.21682246
   1.30000000  852.50455320    3.45876584    0.00415941   -0.00028533    1.21682649
   1.40000000  852.85838888    3.61534845    0.00434772   -0.00031814    1.21683073
   1.50000000  853.22711792    3.75678530    0.00451781   -0.00035064    1.21683514
   1.60000000  853.60927284    3.88403113    0.00467083   -0.00038260    1.21683971
   1.70000000  854.00348481    3.99809770    0.00480801   -0.00041381    1.21684443
   1.80000000  854.40848755    4.10001933    0.00493057   -0.00044412    1.21684928
   1.90000000  854.82311817    4.19082519    0.00503978   -0.00047342    1.21685424
   2.00000000  855.24631553    4.27151796    0.00513682   -0.00050162    1.21685930
   2.10000000  855.67711673    4.34305807    0.00522285   -0.00052866    1.21686446
   2.20000000  856.11465236    4.40635283    0.00529897   -0.00055449    1.21686970
   2.30000000  856.55814076    4.46224959    0.00536619   -0.00057910    1.21687501
   2.40000000  857.00688187    4.51153209    0.00542546   -0.00060250    1.21688038
   2.50000000  857.46025074    4.55491937    0.00547764   -0.00062468    1.21688580
   2.60000000  857.91769114    4.59306658    0.00552352   -0.00064568    1.21689128
   2.70000000  858.37870923    4.62656713    0.00556381   -0.00066552    1.21689680
   2.80000000  858.84286756    4.65595578    0.00559915   -0.00068425    1.21690235
   2.90000000  859.30977937    4.68171240    0.00563013   -0.00070189    1.21690794
   3.00000000  859.77910332    4.70426592    0.00565725   -0.00071850    1.21691356
   3.10000000  860.25053857    4.72399857    0.00568098   -0.00073411    1.21691921
   3.20000000  860.72382036    4.74124995    0.00570173   -0.00074879    1.21692487
   3.30000000  861.19871592    4.75632111    0.00571986   -0.00076256    1.21693056
   3.40000000  861.67502082    4.76947834    0.00573568   -0.00077549    1.21693626
   3.50000000  862.15255566    4.78095675    0.00574949   -0.00078761    1.21694198
   3.60000000  862.63116314    4.79096361    0.00576153   -0.00079898    1.21694771
   3.70000000  863.11070543    4.79968138    0.00577201   -0.00080962    1.21695345
   3.80000000  863.59106181    4.80727051    0.00578114   -0.00081959    1.21695920
   3.90000000  864.07212662    4.81387193    0.00578908   -0.00082893    1.21696496
   4.00000000  864.55380741    4.81960932    0.00579598   -0.00083767    1.21697073
   4.10000000  865.03602331    4.82459114    0.00580198   -0.00084585    1.21697650
   4.20000000  865.51870363    4.82891243    0.00580718   -0.00085350    1.21698228
   4.30000000  866.00178656    4.83265645    0.00581168   -0.00086066    1.21698807
   4.40000000  866.48521811    4.83589605    0.00581558   -0.00086736    1.21699386
   4.50000000  866.96895109    4.83869499    0.00581895   -0.00087362    1.21699965
   4.60000000  867.45294428    4.84110905    0.00582185   -0.00087948    1.21700545
   4.70000000  867.93716169    4.84318696    0.00582435   -0.00088495    1.21701125
   4.80000000  868.42157189    4.84497136    0.00582650   -0.00089008    1.21701705
   4.90000000  868.90614742    4.84649948    0.00582834   -0.00089486    1.21702285
   5.00000000  869.39086433    4.84780387    0.00582991   -0.00089934    1.21702866
   5.10000000  869.87570169    4.84891294    0.00583125   -0.00090353    1.21703447
   5.20000000  870.36064123    4.84985153    0.00583238   -0.00090744    1.21704028
   5.30000000  870.84566703    4.85064129    0.00583333   -0.00091110    1.21704609
   5.40000000  871.33076516    4.85130118    0.00583413   -0.00091452    1.21705190
   5.50000000  871.81592348    4.85184770    0.00583478   -0.00091772    1.21705771
   5.60000000  872.30113140    4.85229529    0.00583532   -0.00092071    1.21706352
   5.70000000  872.78637966    4.85265653    0.00583576   -0.00092351    1.21706933
   5.80000000  873.27166019    4.85294242    0.00583611   -0.00092612    1.21707515
   5.90000000  873.75696595    4.85316255    0.00583637   -0.00092857    1.21708096
   6.00000000  874.24229078    4.85332530    0.00583657   -0.00093085    1.21708678
   6.10000000  874.72762933    4.85343796    0.00583671   -0.00093299    1.21709259
   6.20000000  875.21297692    4.85350693    0.00583679   -0.00093499    1.21709841
   6.30000000  875.69832945    4.85353775    0.00583683   -0.00093686    1.21710422
   6.40000000  876.18368336    4.85353530    0.00583683   -0.00093861    1.21711004
   6.50000000  876.66903553    4.85350380    0.00583679   -0.00094025    1.21711585
   6.60000000  877.15438327    4.85344695    0.00583673   -0.00094178    1.21712167
   6.70000000  877.63972418    4.85336799    0.00583663   -0.00094322    1.21712749
   6.80000000  878.12505622    4.85326973    0.00583652   -0.00094456    1.21713330
   6.90000000  878.61037756    4.85315461    0.00583638   -0.00094581    1.21713912
   7.00000000  879.09568665    4.85302480    0.00583623   -0.00094699    1.21714494
   7.10000000  879.58098209    4.85288216    0.00583606   -0.00094809    1.21715075
   7.20000000  880.06626270    4.85272832    0.00583587   -0.00094912    1.21715657
   7.30000000  880.55152742    4.85256470    0.00583568   -0.00095009    1.21716238
   7.40000000  881.03677535    4.85239256    0.00583547   -0.00095099    1.21716820
   7.50000000  881.52200568    4.85221297    0.00583526   -0.00095184    1.21717402
   7.60000000  882.00721772    4.85202688    0.00583504   -0.00095263    1.21717983
   7.70000000  882.49241087    4.85183512    0.00583481   -0.00095337    1.21718565
   7.80000000  882.97758458    4.85163841    0.00583457   -0.00095407    1.21719146
   7.90000000  883.46273840    4.85143738    0.00583433   -0.00095472    1.21719728
   8.00000000  883.94787192    4.85123257    0.00583409   -0.00095534    1.21720309
   8.10000000  884.43298480    4.85102447    0.00583384   -0.00095591    1.21720891
   8.20000000  884.91807672    4.85081349    0.00583359   -0.00095645    1.21721472
   8.30000000  885.40314741    4.85059999    0.00583333   -0.00095696    1.21722054
   8.40000000  885.88819664    4.85038431    0.00583307   -0.00095743    1.21722636
   8.50000000  886.37322420    4.85016671    0.00583281   -0.00095788    1.21723217
   8.60000000  886.85822992    4.84994743    0.00583255   -0.00095830    1.21723799
   8.70000000  887.34321364    4.84972670    0.00583229   -0.00095870    1.21724380
   8.80000000  887.82817521    4.84950468    0.00583202   -0.00095907    1.21724961
   8.90000000  888.31311453    4.84928155    0.00583175   -0.00095942    1.21725543
   9.00000000  888.79803149    4.84905745    0.00583149   -0.00095975    1.21726124
   9.10000000  889.28292599    4.84883249    0.00583122   -0.00096005    1.21726706
   9.20000000  889.76779796    4.84860679    0.00583095   -0.00096035    1.21727287
   9.30000000  890.25264732    4.84838043    0.00583068   -0.00096062    1.21727869
   9.40000000  890.73747402    4.84815351    0.00583040   -0.00096088    1.21728450
   9.50000000  891.22227800    4.84792608    0.00583013   -0.00096112    1.21729032
   9.60000000  891.70705922    4.84769822    0.00582986   -0.00096136    1.21729613
   9.70000000  892.19181763    4.84746997    0.00582959   -0.00096157    1.21730194
   9.80000000  892.67655320    4.84724139    0.00582931   -0.00096178    1.21730776
   9.90000000  893.16126589    4.84701252    0.00582904   -0.00096198    1.21731357
  10.00000000  893.64595569    4.84678338    0.00582877   -0.00096216    1.21731938
  10.10000000  894.13062256    4.84655402    0.00582849   -0.00096233    1.21732520
  10.20000000  894.61526648    4.84632447    0.00582822   -0.00096250    1.21733101
  10.30000000  895.09988744    4.84609473    0.00582794   -0.00096266    1.21733682
  10.40000000  895.58448542    4.84586484    0.00582767   -0.00096281    1.21734264
  10.50000000  896.06906040    4.84563482    0.00582739   -0.00096295    1.21734845
  10.60000000  896.55361237    4.84540467    0.00582712   -0.00096309    1.21735426
  10.70000000  897.03814133    4.84517442    0.00582684   -0.00096321    1.21736007
  10.80000000  897.52264725    4.84494408    0.00582656   -0.00096334    1.21736589
  10.90000000  898.00713013    4.84471365    0.00582629   -0.00096345    1.21737170
  11.00000000  898.49158997    4.84448315    0.00582601   -0.00096357    1.21737751
  11.10000000  898.97602676    4.84425258    0.00582574   -0.00096367    1.21738332
  11.20000000  899.46044048    4.84402196    0.00582546   -0.00096378    1.21738914
  11.30000000  899.94483114    4.84379128    0.00582518   -0.00096387    1.21739495
  11.40000000  900.42919873    4.84356055    0.00582491   -0.00096397    1.21740076
  11.50000000  900.91354325    4.84332978    0.00582463   -0.00096406    1.21740657
  11.60000000  901.39786468    4.84309897    0.00582436   -0.00096414    1.21741238
  11.70000000  901.88216304    4.84286813    0.00582408   -0.00096423    1.21741819
  11.80000000  902.36643830    4.84263725    0.00582380   -0.00096431    1.21742401
  11.90000000  902.85069048    4.84240635    0.00582353   -0.00096439    1.21742982
  12.00000000  903.33491957    4.84217542    0.00582325   -0.00096446    1.21743563
  12.10000000  903.81912556    4.84194446    0.00582297   -0.00096453    1.21744144
  12.20000000  904.30330845    4.84171348    0.00582270   -0.00096460    1.21744725
  12.30000000  904.78746824    4.84148248    0.00582242   -0.00096467    1.21745306
  12.40000000  905.27160494    4.84125146    0.00582215   -0.00096474    1.21745887
  12.50000000  905.75571853    4.84102042    0.00582187   -0.00096480    1.21746468
