#       Tempo      Altitude       Vel rad     Densid    Volume    Raio balão
   0.00000000  850.00000000    0.00000000    1.11184930    7.54644638    1.21679652
   0.10000000  850.01662726    0.33228614    1.11184782    7.54644937    1.21679672
   0.20000000  850.06635417    0.66148456    1.11184272    7.54645971    1.21679732
   0.30000000  850.14872186    0.98462108    1.11183402    7.54647733    1.21679830
   0.40000000  850.26298413    1.29894011    1.11182182    7.54650206    1.21679967
   0.50000000  850.40813393    1.60199312    1.11180621    7.54653370    1.21680141
   0.60000000  850.58293759    1.89170517    1.11178732    7.54657197    1.21680350
   0.70000000  850.78597445    2.16641643    1.11176532    7.54661656    1.21680593
   0.80000000  851.01567942    2.42489850    1.11174037    7.54666712    1.21680868
   0.90000000  851.27038594    2.66634757    1.11171266    7.54672329    1.21681172
   1.00000000  851.54836725    2.89035820    1.11168237    7.54678467    1.21681505
   1.10000000  851.84787436    3.09688267    1.11164970    7.54685090    1.21681863
   1.20000000  852.16716929    3.28618089    1.11161483    7.54692156    1.21682246
   1.30000000  852.50455320    3.45876584    1.11157796    7.54699630    1.21682649
   1.40000000  852.85838888    3.61534845    1.11153927    7.54707473    1.21683073
   1.50000000  853.22711792    3.75678530    1.11149893    7.54715652    1.21683514
   1.60000000  853.60927284    3.88403113    1.11145710    7.54724133    1.21683971
   1.70000000  854.00348481    3.99809770    1.11141393    7.54732886    1.21684443
   1.80000000  854.40848755    4.10001933    1.11136956    7.54741882    1.21684928
   1.90000000  854.82311817    4.19082519    1.11132413    7.54751095    1.21685424
   2.00000000  855.24631553    4.27151796    1.11127774    7.54760501    1.21685930
   2.10000000  855.67711673    4.34305807    1.11123051    7.54770079    1.21686446
   2.20000000  856.11465236    4.40635283    1.11118254    7.54779810    1.21686970
   2.30000000  856.55814076    4.46224959    1.11113390    7.54789675    1.21687501
   2.40000000  857.00688187    4.51153209    1.11108469    7.54799658    1.21688038
   2.50000000  857.46025074    4.55491937    1.11103496    7.54809747    1.21688580
   2.60000000  857.91769114    4.59306658    1.11098478    7.54819928    1.21689128
   2.70000000  858.37870923    4.62656713    1.11093420    7.54830189    1.21689680
   2.80000000  858.84286756    4.65595578    1.11088327    7.54840522    1.21690235
   2.90000000  859.30977937    4.68171240    1.11083204    7.54850918    1.21690794
   3.00000000  859.77910332    4.70426592    1.11078055    7.54861368    1.21691356
   3.10000000  860.25053857    4.72399857    1.11072882    7.54871866    1.21691921
   3.20000000  860.72382036    4.74124995    1.11067689    7.54882407    1.21692487
   3.30000000  861.19871592    4.75632111    1.11062478    7.54892984    1.21693056
   3.40000000  861.67502082    4.76947834    1.11057252    7.54903594    1.21693626
   3.50000000  862.15255566    4.78095675    1.11052012    7.54914231    1.21694198
   3.60000000  862.63116314    4.79096361    1.11046760    7.54924893    1.21694771
   3.70000000  863.11070543    4.79968138    1.11041498    7.54935577    1.21695345
   3.80000000  863.59106181    4.80727051    1.11036228    7.54946280    1.21695920
   3.90000000  864.07212662    4.81387193    1.11030950    7.54956999    1.21696496
   4.00000000  864.55380741    4.81960932    1.11025665    7.54967732    1.21697073
   4.10000000  865.03602331    4.82459114    1.11020374    7.54978478    1.21697650
   4.20000000  865.51870363    4.82891243    1.11015078    7.54989234    1.21698228
   4.30000000  866.00178656    4.83265645    1.11009778    7.55000001    1.21698807
