#       Tempo      Altitude    Velocidade         Massa        Pressão            P_h        Raio_b
   0.00000000  850.00000000    0.00000000    6.27302649 94360.00000000 94360.00000000    1.21679549
  10.00000000  893.60669118    4.85758395    6.27302649 93885.55498974 93794.14548672    1.21859985
  20.00000000  942.21312683    4.86370227    6.27302649 93358.46782585 93165.94488959    1.22061800
  30.00000000  990.88089878    4.86985998    6.27302649 92833.18434785 92555.52763882    1.22264559
  40.00000000 1039.61047344    4.87606176    6.27302649 92309.69962892 91959.54745902    1.22468232
  50.00000000 1088.40226212    4.88230194    6.27302649 91788.00939025 91375.36919414    1.22672794
  60.00000000 1137.25662537    4.88857601    6.27302649 91268.10994281 90800.91816333    1.22878230
  70.00000000 1186.17388355    4.89488039    6.27302649 90749.99806205 90234.56119746    1.23084525
  80.00000000 1235.15432503    4.90121224    6.27302649 90233.67089104 89675.01282177    1.23291672
  90.00000000 1284.19821272    4.90756930    6.27302649 89719.12586407 89121.26130439    1.23499662
 100.00000000 1333.30578941    4.91394978    6.27302649 89206.36064415 88572.51038707    1.23708492
 110.00000000 1382.47728189    4.92035225    6.27302649 88695.37307537 88028.13338732    1.23918159
 120.00000000 1431.71290415    4.92677557    6.27302649 88186.16114498 87487.63705534    1.24128662
 130.00000000 1481.01286014    4.93321885    6.27302649 87678.72295244 86950.63311918    1.24340001
 140.00000000 1530.37734567    4.93968137    6.27302649 87173.05668681 86416.81588705    1.24552177
 150.00000000 1579.80655014    4.94616256    6.27302649 86669.16060716 85885.94462069    1.24765191
 160.00000000 1629.30065781    4.95266194    6.27302649 86167.03302798 85357.82966544    1.24979046
 170.00000000 1678.85984875    4.95917916    6.27302649 85666.67230787 84832.32153798    1.25193744
 180.00000000 1728.48429976    4.96571391    6.27302649 85168.07683955 84309.30234204    1.25409289
 190.00000000 1778.17418491    4.97226595    6.27302649 84671.24504343 83788.67901633    1.25625683
 200.00000000 1827.92967603    4.97883507    6.27302649 84176.17536142 83270.37802404    1.25842930
 210.00000000 1877.75094315    4.98542112    6.27302649 83682.86625276 82754.34117671    1.26061034
 220.00000000 1927.63815475    4.99202395    6.27302649 83191.31619015 82240.52235034    1.26279999
 230.00000000 1977.59147800    4.99864344    6.27302649 82701.52365734 81728.88490349    1.26499828
 240.00000000 2027.61107901    5.00527948    6.27302649 82213.48714617 81219.39964732    1.26720527
 250.00000000 2077.69712284    5.01193199    6.27302649 81727.20515602 80712.04324992    1.26942098
 260.00000000 2127.84977369    5.01860087    6.27302649 81242.67619151 80206.79698190    1.27164548
 270.00000000 2178.06919494    5.02528606    6.27302649 80759.89876191 79703.64573057    1.27387878
 280.00000000 2228.35554922    5.03198746    6.27302649 80278.87138010 79202.57722505    1.27612095
 290.00000000 2278.70899843    5.03870503    6.27302649 79799.59256195 78703.58142737    1.27837203
 300.00000000 2329.12970376    5.04543868    6.27302649 79322.06082607 78206.65005401    1.28063206
 310.00000000 2379.61782571    5.05218834    6.27302649 78846.27469304 77711.77619992    1.28290108
 320.00000000 2430.17352408    5.05895395    6.27302649 78372.23268531 77218.95404316    1.28517914
 330.00000000 2480.79695799    5.06573543    6.27302649 77899.93332694 76728.17861283    1.28746629
 340.00000000 2531.48828583    5.07253272    6.27302649 77429.37514327 76239.44560675    1.28976257
 350.00000000 2582.24766522    5.07934574    6.27302649 76960.55666165 75752.75124835    1.29206803
 360.00000000 2633.07525307    5.08617440    6.27302649 76493.47640980 75268.09217413    1.29438272
 370.00000000 2683.97120551    5.09301864    6.27302649 76028.13291701 74785.46534535    1.29670667
 380.00000000 2734.93567785    5.09987837    6.27302649 75564.52471342 74304.86797869    1.29903994
 390.00000000 2785.96882457    5.10675350    6.27302649 75102.65033031 73826.29749174    1.30138257
 400.00000000 2837.07079926    5.11364395    6.27302649 74642.50830016 73349.75146022    1.30373461
 410.00000000 2888.24175466    5.12054962    6.27302649 74184.09715600 72875.22758444    1.30609611
 420.00000000 2939.48184251    5.12747042    6.27302649 73727.41543236 72402.72366287    1.30846711
 430.00000000 2990.79121358    5.13440625    6.27302649 73272.46166454 71932.23757148    1.31084766
 440.00000000 3042.17001764    5.14135700    6.27302649 72819.23438890 71463.76724744    1.31323781
 450.00000000 3093.61840340    5.14832257    6.27302649 72367.73214284 70997.31067639    1.31563760
 460.00000000 3145.13651845    5.15530284    6.27302649 71917.95346484 70532.86588239    1.31804708
 470.00000000 3196.72450925    5.16229770    6.27302649 71469.89689436 70070.43092003    1.32046630
 480.00000000 3248.38252107    5.16930703    6.27302649 71023.56097192 69610.00386829    1.32289531
 490.00000000 3300.11069795    5.17633069    6.27302649 70578.94423927 69151.58282564    1.32533414
 500.00000000 3351.90918261    5.18336856    6.27302649 70136.04523937 68695.16590623    1.32778286
 510.00000000 3403.77811650    5.19042051    6.27302649 69694.86251587 68240.75123687    1.33024150
 520.00000000 3455.71763965    5.19748639    6.27302649 69255.39461409 67788.33695470    1.33271012
 530.00000000 3507.72789069    5.20456606    6.27302649 68817.64008002 67337.92120526    1.33518876
 540.00000000 3559.80900668    5.21165936    6.27302649 68381.59746172 66889.50214108    1.33767746
 550.00000000 3611.96112326    5.21876615    6.27302649 67947.26530759 66443.07792047    1.34017629
 560.00000000 3664.18437442    5.22588625    6.27302649 67514.64216756 65998.64670659    1.34268527
 570.00000000 3716.47889250    5.23301950    6.27302649 67083.72659317 65556.20666674    1.34520447
 580.00000000 3768.84480816    5.24016574    6.27302649 66654.51713679 65115.75597175    1.34773392
 590.00000000 3821.28225027    5.24732477    6.27302649 66227.01235240 64677.29279550    1.35027368
 600.00000000 3873.79134590    5.25449641    6.27302649 65801.21079531 64240.81531454    1.35282378
 610.00000000 3926.37222024    5.26168047    6.27302649 65377.11102196 63806.32170774    1.35538429
 620.00000000 3979.02499652    5.26887676    6.27302649 64954.71159034 63373.81015608    1.35795524
 630.00000000 4031.74979596    5.27608507    6.27302649 64534.01105989 62943.27884236    1.36053669
 640.00000000 4084.54673771    5.28330519    6.27302649 64115.00799149 62514.72595108    1.36312867
 650.00000000 4137.41593878    5.29053690    6.27302649 63697.70094727 62088.14966818    1.36573124
 660.00000000 4190.35751396    5.29777997    6.27302649 63282.08849099 61663.54818098    1.36834444
 670.00000000 4243.37157576    5.30503418    6.27302649 62868.16918786 61240.91967798    1.37096832
 680.00000000 4296.45823436    5.31229929    6.27302649 62455.94160443 60820.26234875    1.37360293
 690.00000000 4349.61759746    5.31957505    6.27302649 62045.40430917 60401.57438382    1.37624830
 700.00000000 4402.84977031    5.32686120    6.27302649 61636.55587170 59984.85397454    1.37890450
 710.00000000 4456.15485556    5.33415748    6.27302649 61229.39486323 59570.09931299    1.38157155
 720.00000000 4509.53295320    5.34146363    6.27302649 60823.91985666 59157.30859184    1.38424951
 730.00000000 4562.98416050    5.34877937    6.27302649 60420.12942632 58746.48000427    1.38693842
 740.00000000 4616.50857190    5.35610440    6.27302649 60018.02214826 58337.61174381    1.38963833
 750.00000000 4670.10627893    5.36343844    6.27302649 59617.59660002 57930.70200426    1.39234929
 760.00000000 4723.77737016    5.37078119    6.27302649 59218.85136077 57525.74897957    1.39507133
 770.00000000 4777.52193103    5.37813232    6.27302649 58821.78501136 57122.75086367    1.39780450
 780.00000000 4831.34004391    5.38549152    6.27302649 58426.39613401 56721.70585043    1.40054885
 790.00000000 4885.23178776    5.39285847    6.27302649 58032.68331323 56322.61213344    1.40330441
 800.00000000 4939.19723834    5.40023281    6.27302649 57640.64513449 55925.46790595    1.40607124
 810.00000000 4993.23646788    5.40761420    6.27302649 57250.28018519 55530.27136069    1.40884937
 820.00000000 5047.34954510    5.41500229    6.27302649 56861.58705426 55137.02068974    1.41163885
 830.00000000 5101.53653507    5.42239669    6.27302649 56474.56433245 54745.71408438    1.41443972
 840.00000000 5155.79749910    5.42979703    6.27302649 56089.21061208 54356.34973494    1.41725201
 850.00000000 5210.13249470    5.43720293    6.27302649 55705.52448695 53968.92583066    1.42007578
 860.00000000 5264.54157533    5.44461398    6.27302649 55323.50455304 53583.44055950    1.42291107
 870.00000000 5319.02479049    5.45202977    6.27302649 54943.14940742 53199.89210799    1.42575790
 880.00000000 5373.58218543    5.45944987    6.27302649 54564.45764910 52818.27866106    1.42861633
 890.00000000 5428.21380117    5.46687385    6.27302649 54187.42787863 52438.59840186    1.43148639
 900.00000000 5482.91967427    5.47430127    6.27302649 53812.05869831 52060.84951155    1.43436813
 910.00000000 5537.69983681    5.48173166    6.27302649 53438.34871194 51685.03016916    1.43726157
 920.00000000 5592.55431623    5.48916456    6.27302649 53066.29652503 51311.13855135    1.44016676
 930.00000000 5647.48313514    5.49659948    6.27302649 52695.90074480 50939.17283222    1.44308373
 940.00000000 5702.48631135    5.50403593    6.27302649 52327.15997987 50569.13118313    1.44601252
 950.00000000 5757.56385759    5.51147340    6.27302649 51960.07284051 50201.01177243    1.44895317
 960.00000000 5812.71578144    5.51891137    6.27302649 51594.63793871 49834.81276530    1.45190571
 970.00000000 5867.94208523    5.52634930    6.27302649 51230.85388782 49470.53232346    1.45487018
 980.00000000 5923.24276584    5.53378664    6.27302649 50868.71930280 49108.16860499    1.45784660
 990.00000000 5978.61781460    5.54122283    6.27302649 50508.23280009 48747.71976405    1.46083502
1000.00000000 6034.06721714    5.54865730    6.27302649 50149.39299771 48389.18395066    1.46383546
1010.00000000 6089.59095323    5.55608944    6.27302649 49792.19851500 48032.55931041    1.46684795
1020.00000000 6145.18899667    5.56351866    6.27302649 49436.64797281 47677.84398423    1.46987253
1030.00000000 6200.86131506    5.57094433    6.27302649 49082.73999340 47325.03610808    1.47290923
1040.00000000 6256.60786978    5.57836582    6.27302649 48730.47320028 46974.13381272    1.47595807
1050.00000000 6312.42861567    5.58578246    6.27302649 48379.84621839 46625.13522339    1.47901908
1060.00000000 6368.32350101    5.59319359    6.27302649 48030.85767400 46278.03845951    1.48209228
1070.00000000 6424.29246726    5.60059853    6.27302649 47683.50619450 45932.84163441    1.48517771
1080.00000000 6480.33544896    5.60799656    6.27302649 47337.79040854 45589.54285497    1.48827539
1090.00000000 6536.45237350    5.61538697    6.27302649 46993.70894598 45248.14022136    1.49138534
1100.00000000 6592.64316101    5.62276903    6.27302649 46651.26043768 44908.63182668    1.49450758
1110.00000000 6648.90772413    5.63014197    6.27302649 46310.44351566 44571.01575660    1.49764213
1120.00000000 6705.24596786    5.63750502    6.27302649 45971.25681281 44235.29008906    1.50078902
1130.00000000 6761.65778936    5.64485739    6.27302649 45633.69896307 43901.45289391    1.50394826
1140.00000000 6818.14307776    5.65219826    6.27302649 45297.76860132 43569.50223252    1.50711987
1150.00000000 6874.70171400    5.65952682    6.27302649 44963.46436299 43239.43615742    1.51030387
1160.00000000 6931.33357060    5.66684219    6.27302649 44630.78488457 42911.25271194    1.51350027
1170.00000000 6988.03851148    5.67414353    6.27302649 44299.72880292 42584.94992980    1.51670909
1180.00000000 7044.81639176    5.68142992    6.27302649 43970.29475571 42260.52583470    1.51993033
1190.00000000 7101.66705755    5.68870047    6.27302649 43642.48138097 41937.97843995    1.52316401
1200.00000000 7158.59034568    5.69595424    6.27302649 43316.28731744 41617.30574801    1.52641013
1210.00000000 7215.58608363    5.70319027    6.27302649 42991.71120389 41298.50575010    1.52966871
1220.00000000 7272.65408919    5.71040759    6.27302649 42668.75167944 40981.57642574    1.53293975
1230.00000000 7329.79417025    5.71760521    6.27302649 42347.40738354 40666.51574228    1.53622325
1240.00000000 7387.00612464    5.72478209    6.27302649 42027.67695547 40353.32165451    1.53951921
1250.00000000 7444.28973984    5.73193719    6.27302649 41709.55903458 40041.99210413    1.54282765
1260.00000000 7501.64479277    5.73906945    6.27302649 41393.05226008 39732.52501930    1.54614855
1270.00000000 7559.07104954    5.74617778    6.27302649 41078.15527089 39424.91831415    1.54948191
1280.00000000 7616.56826523    5.75326105    6.27302649 40764.86670564 39119.16988827    1.55282773
1290.00000000 7674.13618364    5.76031813    6.27302649 40453.18520230 38815.27762624    1.55618600
1300.00000000 7731.77453697    5.76734784    6.27302649 40143.10939843 38513.23939704    1.55955672
1310.00000000 7789.48304572    5.77434900    6.27302649 39834.63793057 38213.05305362    1.56293986
1320.00000000 7847.26141821    5.78132039    6.27302649 39527.76943483 37914.71643228    1.56633543
1330.00000000 7905.10935060    5.78826077    6.27302649 39222.50254562 37618.22735213    1.56974340
1340.00000000 7963.02652633    5.79516885    6.27302649 38918.83589667 37323.58361460    1.57316376
1350.00000000 8021.01261603    5.80204334    6.27302649 38616.76812032 37030.78300277    1.57659648
1360.00000000 8079.06727715    5.80888291    6.27302649 38316.29784748 36739.82328086    1.58004155
1370.00000000 8137.19015380    5.81568621    6.27302649 38017.42370722 36450.70219364    1.58349895
1380.00000000 8195.38087630    5.82245185    6.27302649 37720.14432701 36163.41746577    1.58696864
1390.00000000 8253.63906101    5.82917842    6.27302649 37424.45833226 35877.96680125    1.59045060
1400.00000000 8311.96431000    5.83586446    6.27302649 37130.36434624 35594.34788278    1.59394479
1410.00000000 8370.35621072    5.84250852    6.27302649 36837.86098982 35312.55837109    1.59745118
1420.00000000 8428.81433576    5.84910907    6.27302649 36546.94688142 35032.59590437    1.60096974
1430.00000000 8487.33824244    5.85566459    6.27302649 36257.62063673 34754.45809756    1.60450043
1440.00000000 8545.92747261    5.86217350    6.27302649 35969.88086848 34478.14254170    1.60804320
1450.00000000 8604.58155223    5.86863421    6.27302649 35683.72618630 34203.64680328    1.61159801
1460.00000000 8663.29999111    5.87504508    6.27302649 35399.15519655 33930.96842353    1.61516481
1470.00000000 8722.08228257    5.88140444    6.27302649 35116.16650176 33660.10491776    1.61874355
1480.00000000 8780.92790308    5.88771060    6.27302649 34834.75870094 33391.05377461    1.62233418
1490.00000000 8839.83631189    5.89396182    6.27302649 34554.93038912 33123.81245540    1.62593664
1500.00000000 8898.80695083    5.90015633    6.27302649 34276.68015665 32858.37839338    1.62955087
1510.00000000 8957.83924380    5.90629232    6.27302649 34000.00658973 32594.74899298    1.63317681
1520.00000000 9016.93259647    5.91236796    6.27302649 33724.90826975 32332.92162911    1.63681439
1530.00000000 9076.08639594    5.91838136    6.27302649 33451.38377299 32072.89364642    1.64046355
1540.00000000 9135.30001037    5.92433063    6.27302649 33179.43167042 31814.66235851    1.64412420
1550.00000000 9194.57278862    5.93021380    6.27302649 32909.05052748 31558.22504718    1.64779628
1560.00000000 9253.90405982    5.93602889    6.27302649 32640.23890383 31303.57896169    1.65147970
1570.00000000 9313.29313309    5.94177387    6.27302649 32372.99535272 31050.72131796    1.65517438
1580.00000000 9372.73929705    5.94744668    6.27302649 32107.31842124 30799.64929778    1.65888024
1590.00000000 9432.24181953    5.95304522    6.27302649 31843.20664955 30550.36004804    1.66259717
1600.00000000 9491.79994708    5.95856734    6.27302649 31580.65857089 30302.85067992    1.66632510
