    Raio_b        Beta
   1.21679652 19519971.66259711
   1.21679652 19556288.85297607
   1.21697201 19543552.03504520
   1.21714754 19530832.17327450
   1.21732311 19518129.25274058
   1.21749873 19505443.25853067
   1.21767438 19492774.17574193
   1.21785008 19480121.98948164
   1.21802583 19467486.68486743
   1.21820162 19454868.24702681
   1.21837745 19442266.66109774
   1.21855332 19429681.91222791
   1.21872924 19417113.98557560
   1.21890520 19404562.86630884
   1.21908121 19392028.53960603
   1.21925725 19379510.99065555
   1.21943335 19367010.20465586
   1.21960948 19354526.16681567
   1.21978566 19342058.86235354
   1.21996188 19329608.27649832
   1.22013814 19317174.39448904
   1.22031445 19304757.20157444
   1.22049080 19292356.68301360
   1.22066720 19279972.82407570
   1.22084364 19267605.61003991
   1.22102012 19255255.02619533
   1.22119664 19242921.05784127
   1.22137321 19230603.69028707
   1.22154982 19218302.90885211
   1.22172648 19206018.69886555
   1.22190318 19193751.04566700
   1.22207992 19181499.93460590
   1.22225671 19169265.35104162
   1.22243354 19157047.28034364
   1.22261041 19144845.70789135
   1.22278733 19132660.61907436
   1.22296429 19120491.99929194
   1.22314130 19108339.83395363
   1.22331834 19096204.10847886
   1.22349544 19084084.80829702
   1.22367257 19071981.91884744
   1.22384975 19059895.42557952
   1.22402697 19047825.31395258
   1.22420424 19035771.56943579
   1.22438155 19023734.17750838
   1.22455890 19011713.12365947
   1.22473630 18999708.39338830
   1.22491374 18987719.97220370
   1.22509123 18975747.84562465
   1.22526876 18963791.99918011
   1.22544633 18951852.41840878
   1.22562395 18939929.08885943
   1.22580161 18928021.99609059
   1.22597932 18916131.12567072
   1.22615706 18904256.46317841
   1.22633486 18892397.99420172
   1.22651269 18880555.70433892
   1.22669057 18868729.57919800
   1.22686850 18856919.60439689
   1.22704647 18845125.76556344
   1.22722448 18833348.04833518
   1.22740253 18821586.43835967
   1.22758063 18809840.92129425
   1.22775878 18798111.48280612
   1.22793697 18786398.10857225
   1.22811520 18774700.78427963
   1.22829347 18763019.49562474
   1.22847180 18751354.22831430
   1.22865016 18739704.96806445
   1.22882857 18728071.70060153
   1.22900702 18716454.41166136
   1.22918552 18704853.08698967
   1.22936406 18693267.71234209
   1.22954264 18681698.27348384
   1.22972127 18670144.75619018
   1.22989995 18658607.14624583
   1.23007866 18647085.42944559
   1.23025743 18635579.59159380
   1.23043623 18624089.61850476
   1.23061508 18612615.49600228
   1.23079398 18601157.20992016
   1.23097292 18589714.74610185
   1.23115190 18578288.09040051
   1.23133093 18566877.22867900
   1.23151000 18555482.14681013
   1.23168911 18544102.83067591
   1.23186827 18532739.26616900
   1.23204748 18521391.43919078
   1.23222673 18510059.33565286
   1.23240602 18498742.94147657
   1.23258536 18487442.24259265
   1.23276474 18476157.22494176
   1.23294417 18464887.87447422
   1.23312364 18453634.17715002
   1.23330315 18442396.11893867
   1.23348271 18431173.68581971
   1.23366232 18419966.86378188
   1.23384197 18408775.63882391
   1.23402166 18397599.99695419
   1.23420140 18386439.92419039
   1.23438118 18375295.40656029
   1.23456101 18364166.43010115
   1.23474088 18353052.98085962
   1.23492080 18341955.04489231
   1.23510076 18330872.60826524
   1.23528076 18319805.65705412
   1.23546081 18308754.17734437
   1.23564091 18297718.15523074
   1.23582105 18286697.57681792
   1.23600123 18275692.42821983
   1.23618146 18264702.69556033
   1.23636174 18253728.36497265
   1.23654205 18242769.42259961
   1.23672242 18231825.85459368
   1.23690282 18220897.64711681
   1.23708328 18209984.78634061
   1.23726377 18199087.25844626
   1.23744432 18188205.04962415
   1.23762490 18177338.14607478
   1.23780553 18166486.53400779
   1.23798621 18155650.19964252
   1.23816693 18144829.12920767
   1.23834770 18134023.30894168
   1.23852851 18123232.72509226
   1.23870937 18112457.36391695
   1.23889027 18101697.21168257
   1.23907121 18090952.25466538
   1.23925220 18080222.47915136
   1.23943324 18069507.87143591
   1.23961432 18058808.41782368
   1.23979545 18048124.10462927
   1.23997662 18037454.91817635
   1.24015783 18026800.84479807
   1.24033909 18016161.87083746
   1.24052040 18005537.98264644
   1.24070175 17994929.16658684
   1.24088314 17984335.40902957
   1.24106459 17973756.69635535
   1.24124607 17963193.01495409
   1.24142760 17952644.35122529
   1.24160918 17942110.69157773
   1.24179080 17931592.02242956
   1.24197247 17921088.33020864
   1.24215418 17910599.60135194
   1.24233594 17900125.82230607
   1.24251774 17889666.97952678
   1.24269959 17879223.05947952
   1.24288148 17868794.04863881
   1.24306342 17858379.93348885
   1.24324540 17847980.70052303
   1.24342743 17837596.33624414
